date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:20	17119/17119	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Oct%202022%2002:57:20%20GMT	https://sahilk.in/robots.txt		(from )
08:27:20	76627/76627	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:20%20GMT	https://sahilk.in/	C:/My%20Web%20Sites/sahil/sahilk.in/index.html	(from )
08:27:21	5264/5264	---M-Z	200	added ('OK')	text/css	etag:W/%22633c56f1-1490%22	https://rsms.me/inter/inter.css	C:/My%20Web%20Sites/sahil/rsms.me/inter/inter.css	(from https://sahilk.in/)
08:27:21	69024/69024	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:21%20GMT	https://sahilk.in/about	C:/My%20Web%20Sites/sahil/sahilk.in/about	(from https://sahilk.in/)
08:27:22	51424/51424	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:21%20GMT	https://sahilk.in/blog	C:/My%20Web%20Sites/sahil/sahilk.in/blog	(from https://sahilk.in/)
08:27:22	67041/67041	---M--	200	added ('OK')	image/png	etag:%22e9a94ccb1f97f8d9aee38d901b680d85%22	https://sahilk.in/static/illustration-68800a4412d2063f2072e473d6d362ad.png	C:/My%20Web%20Sites/sahil/sahilk.in/static/illustration-68800a4412d2063f2072e473d6d362ad.png	(from https://sahilk.in/)
08:27:23	65479/65479	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:23%20GMT	https://sahilk.in/blog/bangalore-food-recommendations/	C:/My%20Web%20Sites/sahil/sahilk.in/blog/bangalore-food-recommendations/index.html	(from https://sahilk.in/)
08:27:23	352381/352381	---M--	200	added ('OK')	image/jpeg	etag:%221d4a99cf44aefa9d267580a77490bcec%22	https://sahilk.in/static/d5a0057c35c6ede288a0a573cecce483/95736/bangalore-food-sahil-khan.jpg	C:/My%20Web%20Sites/sahil/sahilk.in/static/d5a0057c35c6ede288a0a573cecce483/95736/bangalore-food-sahil-khan.jpg	(from https://sahilk.in/)
08:27:24	460290/460290	---M--	200	added ('OK')	image/jpeg	etag:%22805bf3f10ec7e1550ed9671a3ccd810a%22	https://sahilk.in/static/672c900efc140bf7a9689674ffd92000/95736/pune-food-sahil-khan.jpg	C:/My%20Web%20Sites/sahil/sahilk.in/static/672c900efc140bf7a9689674ffd92000/95736/pune-food-sahil-khan.jpg	(from https://sahilk.in/)
08:27:24	61802/61802	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:24%20GMT	https://sahilk.in/blog/pune-food-recommendations/	C:/My%20Web%20Sites/sahil/sahilk.in/blog/pune-food-recommendations/index.html	(from https://sahilk.in/)
08:27:24	11418/11418	---M--	200	added ('OK')	image/png	etag:%226fd1b50deff203def9707bae247f9952%22	https://sahilk.in/static/ef79595088c5f4598c26edc6d95d4e2d/f62a1/break-into-design.png	C:/My%20Web%20Sites/sahil/sahilk.in/static/ef79595088c5f4598c26edc6d95d4e2d/f62a1/break-into-design.png	(from https://sahilk.in/)
08:27:24	4712/4712	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:24%20GMT	https://sahilk.in/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/sahil/sahilk.in/cdn-cgi/l/email-protection.html	(from https://sahilk.in/)
08:27:25	63328/63328	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2002:57:25%20GMT	https://sahilk.in/blog/breaking-into-design/	C:/My%20Web%20Sites/sahil/sahilk.in/blog/breaking-into-design/index.html	(from https://sahilk.in/)
08:27:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634571bd-4d7%22	https://sahilk.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/sahil/sahilk.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://sahilk.in/)
08:27:26	84995/84995	---MCZ	200	added ('OK')	application/javascript	etag:W/%2291cb58197f1db495de803859560b0090%22	https://sahilk.in/polyfill-f730b9f19d09667f5bd7.js	C:/My%20Web%20Sites/sahil/sahilk.in/polyfill-f730b9f19d09667f5bd7.js	(from https://sahilk.in/)
08:27:26	100547/100547	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261028c5e99fd88af70578256ae938be5%22	https://sahilk.in/app-58e97623ab954b0a3a87.js	C:/My%20Web%20Sites/sahil/sahilk.in/app-58e97623ab954b0a3a87.js	(from https://sahilk.in/)
08:27:27	149065/149065	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ec25d1838e9043647a4a99e11ab182c3%22	https://sahilk.in/framework-c9b92197cbae3c33e091.js	C:/My%20Web%20Sites/sahil/sahilk.in/framework-c9b92197cbae3c33e091.js	(from https://sahilk.in/)
08:27:27	4004/4004	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7d949ed4afc583be8e39c8c9dba0e23%22	https://sahilk.in/webpack-runtime-ea9b2921f2364a7a5f1c.js	C:/My%20Web%20Sites/sahil/sahilk.in/webpack-runtime-ea9b2921f2364a7a5f1c.js	(from https://sahilk.in/)
08:27:27	99632/99632	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-18530%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:28	106496/106496	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a000%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:28	104232/104232	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19728%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:28	111392/111392	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b320%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:28	104332/104332	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1978c%22	https://rsms.me/inter/font-files/Inter-Light.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-Light3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:29	111332/111332	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b2e4%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-LightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:29	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-18234%22	https://rsms.me/inter/font-files/Inter-Regular.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-Regular3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:29	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a17c%22	https://rsms.me/inter/font-files/Inter-Italic.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-Italic3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:29	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19dc4%22	https://rsms.me/inter/font-files/Inter-Medium.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-Medium3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:29	112184/112184	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b638%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-MediumItalic3535.woff2	(from https://rsms.me/inter/inter.css)
08:27:30	105804/105804	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19d4c%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=3.19	C:/My%20Web%20Sites/sahil/rsms.me/inter/font-files/Inter-SemiBold3535.woff2	(from https://rsms.me/inter/inter.css)
